thrid,emails,people,time duration,date,to,from
1524634678349437494,1,1,0,"Jan 28, 2016 13:15:33",['dbc0cb3d23683389205e9e0ca07c0c0dd69c586b0e38c4b4ac3129a5'],dbc0cb3d23683389205e9e0ca07c0c0dd69c586b0e38c4b4ac3129a5
1518023362680857274,1,2,0,"Jan 2, 2016 20:30:32",['0278e200bc315bf28c09742c1456d3bc4e3e37a80e99a5c831e2cd1c'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1524255010605592719,1,2,0,"Jan 24, 2016 08:40:50",['5a94809309aaa848af2cd887ae7ad6e793c26622d77520452755369b'],dcafc6dad8932df99b413b19b4267ec4f972d46cdc1827afa3eb09a6
1520535658405764764,1,2,0,"Jan 11, 2016 12:52:37",['29bffd5b0775444331683ee68600294a51fba3f1ab16245311dec110'],cb0207a1c07d0571493dba9127046d1efbeb3beff5c922a6022b62e6
1523917748098764067,1,2,0,"Jan 20, 2016 20:20:15",['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8'],96fcab7f366952eb891e2ab740d17e256b16c0844cf2a1d7073d3c45
1524732499823642882,1,2,0,"Jan 29, 2016 15:09:21",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],6d5f470dd8bcc76ece3f8f218a2b193014b6439a11b41ad4b361902f
1518744589037837666,3,2,1,"Jan 2, 2016 20:38:28",['6a45453ec1197c363c565d9950eb70d792f36a516f4195bb9c71a76c'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1518744589037837666,3,2,1,"Jan 3, 2016 02:51:36",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],6a45453ec1197c363c565d9950eb70d792f36a516f4195bb9c71a76c
1518744589037837666,3,2,1,"Jan 3, 2016 16:36:26",['6a45453ec1197c363c565d9950eb70d792f36a516f4195bb9c71a76c'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522506762138389291,5,3,1,"Jan 5, 2016 06:33:09",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],5a94809309aaa848af2cd887ae7ad6e793c26622d77520452755369b
1522506762138389291,5,3,1,"Jan 5, 2016 13:40:07",['5a94809309aaa848af2cd887ae7ad6e793c26622d77520452755369b'],4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8
1522506762138389291,5,3,1,"Jan 5, 2016 18:43:51",['4bcd7a2cbb4e8c2e9e88f920ab465252b8f8f71cccb6098f14466ee8'],5a94809309aaa848af2cd887ae7ad6e793c26622d77520452755369b
1522506762138389291,5,3,1,"Jan 6, 2016 15:05:52",['5a94809309aaa848af2cd887ae7ad6e793c26622d77520452755369b'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1522506762138389291,5,3,1,"Jan 6, 2016 20:11:50",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],5a94809309aaa848af2cd887ae7ad6e793c26622d77520452755369b
1524663757688695759,4,5,1,"Jan 28, 2016 20:57:36","['86647f2065368e8c1193e369037c9125239d2e474ccc9afaf5170800', '9f1395ac05bd1568d1d421b6948b394231c80c0d41af313cbd609300']",bd0f0e07ac3241f9994e5beb87ece8834c4dc7c3bd2c6c8e9e449edd
1524663757688695759,4,5,1,"Jan 28, 2016 22:48:30",['bd0f0e07ac3241f9994e5beb87ece8834c4dc7c3bd2c6c8e9e449edd'],9f1395ac05bd1568d1d421b6948b394231c80c0d41af313cbd609300
1524663757688695759,4,5,1,"Jan 29, 2016 05:59:22",['bd0f0e07ac3241f9994e5beb87ece8834c4dc7c3bd2c6c8e9e449edd'],86647f2065368e8c1193e369037c9125239d2e474ccc9afaf5170800
1524663757688695759,4,5,1,"Jan 29, 2016 20:49:29","['17ddb317f7f654ea103f1ac9494bb6a66c58a8752a6e4a3cce271f1e', '8d80cd673ab8aaf4fcdb42b9c20ec49d13b58c6eb0eb0d4d20ce11b0']",9f1395ac05bd1568d1d421b6948b394231c80c0d41af313cbd609300
1523890512515069585,3,3,2,"Jan 20, 2016 14:07:00",['e217df7efc0ae972a456ffb24fe956e6c4fb79227ec3dde980edc5d5'],13c1563ef2f18981c69380f824f562fd8a83ea890b525c05e86e296e
1523890512515069585,3,3,2,"Jan 20, 2016 22:48:44",['13c1563ef2f18981c69380f824f562fd8a83ea890b525c05e86e296e'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1523890512515069585,3,3,2,"Jan 22, 2016 00:22:09",['76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b'],13c1563ef2f18981c69380f824f562fd8a83ea890b525c05e86e296e
1524645345185005848,7,6,3,"Jan 28, 2016 21:05:02",['534627f488e21105967c4983f75f609e81d6b08d12f0aa86d49749fc'],ac4041b86cf9a11ac400ae662f3bbad3d20922983314878d59707902
1524645345185005848,7,6,3,"Jan 28, 2016 18:54:59",['534627f488e21105967c4983f75f609e81d6b08d12f0aa86d49749fc'],76e4af1fdf6e2261db1c0044d3b24c4d062d43fee3fcc0ea4140527b
1524645345185005848,7,6,3,"Jan 29, 2016 09:15:11",['534627f488e21105967c4983f75f609e81d6b08d12f0aa86d49749fc'],4545b6be2641e80180a380363be504d451675ab5af347b06e2935ca5
1524645345185005848,7,6,3,"Jan 30, 2016 11:22:00",['534627f488e21105967c4983f75f609e81d6b08d12f0aa86d49749fc'],0b2d7e4595cc0942800125e9ce22b807fb017ec7f5dcd4476c096673
